 Trainspotting TheHustler TheLadyEve SplendorintheGrass PatherPanchali TheWindWillCarryUs Stroszek Ali_FearEatstheSoul BlazingSaddles DotheRightThing The47Ronin Alien TropicalMalady Nostalghia TaleofTales NightoftheDemon IntheRealmoftheSenses Notorious BartonFink TheCrowd TheParty LetterfromanUnknownWoman MillionDollarBaby ChungkingExpress Stagecoach Dumbo TheAsphaltJungle DogStarMan Crash DersuUzala Z StrangerThanParadise MadMax_FuryRoad TheMarriageofMariaBraun NewsfromHome PointBreak ToKillaMockingbird Rebecca TheIntruder TheEmpireStrikesBack PulpFiction SilentLight SyndromesandaCentury Metropolis Ten OntheTown DeadRingers Berlin_SymphonyofaGreatCity WagonMaster FloatingWeeds PatGarrettandBillytheKid Passion Se7en NightoftheLivingDead TwoorThreeThingsIKnowAboutHer DawnoftheDead TheGoldenCoach AManEscaped Rififi FunnyGames Psycho Intolerance Superman TasteofCherry EyesWithoutaFace BonnieandClyde Bambi ChimesatMidnight JulesetJim Spione M Senso TheAdventuresofPrinceAchmed TaipeiStory WhiteHeat ToLive BerlinAlexanderplatz Earth TheGrapesofWrath TheChronicleofAnnaMagdalenaBach TheManWhoShotLibertyValance TheColourofPomegranate Daisies TheBalladofNarayama DeathinVenice Paisan ColossalYouth Magnolia ATouchofZen MildredPierce TheSilence 2001_ASpaceOdyssey TheAgeoftheEarth Diary TouchezpasauGrisbi HowGreenWasMyValley DustintheWind OpeningNight FiveEasyPieces The400Blows
Ian 9 6 NA NA NA NA NA NA NA 10 NA NA 1 NA 5 4 6 NA NA NA NA NA 8 NA 5 9 NA 2 4 NA NA NA 10 9 NA NA 7 9 NA 8 NA NA 6 7 NA 2 NA 5 NA NA NA NA NA NA NA 5 NA 9 NA NA NA 5 NA NA NA NA 7 10 NA NA NA 8 NA NA 8 5 NA 5 3 4 4 NA 3 3 NA NA 10 1 8 7 10 NA NA NA NA 10 NA NA NA NA
Brenden NA 7 NA 2 5 NA NA NA NA NA NA 5 NA NA NA 8 3 10 10 NA NA NA 1 2 NA NA NA NA NA 5 NA NA 10 NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA 3 7 5 5 NA NA 1 10 10 NA 3 10 NA 7 NA NA NA 9 NA 9 NA 9 NA NA NA NA NA NA NA NA NA 6 3 NA NA NA NA NA NA NA NA NA 7 9 NA NA 9
Ethan 3 NA NA 4 NA 1 5 NA NA NA 9 9 NA NA 1 NA 10 NA NA 6 NA NA NA NA NA 5 2 NA NA NA 9 NA 8 NA NA 9 5 NA 2 NA 9 5 NA 4 NA NA NA 6 8 8 NA 5 7 NA 5 NA 1 NA 7 8 NA NA NA 10 NA NA 4 NA 7 NA NA NA 9 NA NA NA 2 NA NA 7 9 NA NA NA 9 NA NA NA 5 5 8 6 NA NA 7 9 NA NA 1 NA
Gabriela NA 1 NA NA 1 NA 4 NA 7 NA NA 9 NA NA NA 3 NA 6 NA 3 NA 6 NA 10 NA 8 NA NA 4 3 5 NA NA 2 NA NA 1 NA NA 6 NA 7 NA 9 NA NA NA NA 1 NA 7 NA NA NA NA NA NA NA NA NA 9 NA NA NA NA 10 2 NA NA 3 NA NA NA 3 NA NA NA NA 10 NA 2 NA NA NA NA 7 9 2 NA 10 NA NA NA NA NA NA NA NA NA 2
Kameron NA NA 2 NA 6 4 7 NA NA 4 NA 1 NA 8 NA NA 2 NA NA NA NA NA NA NA NA NA 8 NA 5 NA NA 8 NA 1 NA NA NA NA 10 10 9 NA 5 NA NA NA 7 NA NA 8 NA NA 5 9 NA NA NA NA NA NA NA 7 NA 9 NA NA NA NA NA 7 NA NA NA 9 NA NA 6 NA NA NA NA 9 NA NA 7 NA 10 NA 7 NA 1 2 NA NA NA NA NA 6 9 6
Annalee 2 3 NA 2 10 9 NA NA NA NA NA NA NA 7 8 NA NA 6 6 NA NA 5 NA NA 9 NA 9 NA NA NA 1 NA NA 6 NA 9 NA 1 7 NA NA 2 7 NA 4 NA 9 NA 3 9 NA NA NA NA 8 10 8 NA 7 7 NA NA NA NA NA 10 NA 6 NA NA NA 8 1 NA 6 NA NA NA NA NA NA NA NA NA NA NA 4 NA 6 NA NA NA 2 NA NA NA NA 9 NA NA
Ruby 5 NA 2 NA NA 9 NA 6 4 NA 7 1 NA NA NA NA NA NA 3 NA NA NA 7 NA NA 3 NA 9 NA NA NA 10 2 NA 8 4 3 NA NA NA NA 9 NA NA 1 NA NA NA NA 1 NA NA 10 NA 6 2 NA NA NA NA NA NA 3 NA NA NA NA 7 4 NA NA NA 9 5 NA NA 8 7 NA 1 5 10 5 3 6 NA NA NA 6 NA NA NA NA 6 NA 9 6 NA NA NA
Jaziel NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA 3 NA NA NA NA NA 9 NA NA NA NA NA 6 NA NA 7 NA NA NA 9 NA 6 9 5 NA 6 1 8 9 2 NA NA 3 NA 7 NA 8 9 NA 1 NA NA NA 7 NA 4 NA 1 4 NA NA NA 5 NA 7 NA NA NA 7 NA 6 NA 10 NA NA NA NA 5 NA 2 NA NA 5 NA NA 7 1 NA NA NA 8 NA NA NA 7
Yusuf 7 6 10 7 NA 9 NA NA 4 NA 2 4 NA 3 7 8 NA NA 5 NA 4 NA NA 2 4 1 NA NA NA NA 4 9 9 7 NA 3 2 7 9 NA NA NA NA NA NA NA NA NA 10 5 NA 4 NA 4 9 7 NA 4 NA NA NA 10 NA NA 8 NA 7 NA NA 4 NA NA 1 NA 2 6 NA 6 NA NA NA NA 7 NA NA 9 NA NA 8 NA 9 9 1 7 NA NA 6 10 4 NA
Chandler NA NA NA NA NA NA NA NA NA NA 7 NA NA NA 3 NA NA 9 7 9 NA 10 NA NA 4 5 10 NA NA 3 NA 10 NA 9 NA 6 9 NA 5 NA 6 3 8 NA NA NA NA NA NA NA 1 NA 7 NA NA 6 7 9 NA 9 NA 4 NA NA 7 NA NA 4 4 NA NA NA NA NA NA NA 1 NA NA NA 3 5 2 NA 5 NA 10 8 8 9 NA NA 9 4 NA NA 3 8 NA 1
