 BringingUpBaby Alphaville SongsfromtheSecondFloor TheThinRedLine TheNuttyProfessor LocalHero MeanStreets CairoStation Ugetsumonogatari TheTexasChainsawMassacre FiresWereStarted MiracleinMilan Amour KingKong BadTiming DersuUzala Spione TheTimetoLiveandtheTimetoDie BrideofFrankenstein Breathless The39Steps Nouvellevague HowGreenWasMyValley AStreetcarNamedDesire TheAgeoftheEarth ChungkingExpress SimonoftheDesert Wavelength ScorpioRising JurassicPark Passion KnifeintheWater FloatingClouds ThePalmBeachStory Mouchette Melancholia Partiedecampagne Network Playtime TheApartment StreetAngel BeforeSunrise SweetSmellofSuccess TaxiDriver BreakingtheWaves TheTigerofEschnapur Carrie Elephant CloseEncountersoftheThirdKind CarnivalofSouls BonnieandClyde VoyageinItaly TheNightoftheHunter Hiroshimamonamour Faces NostalgiafortheLight TheKillingofaChineseBookie TaleofTales ElevatortotheGallows DoubleIndemnity TheTreeofLife Lolita Rocky MasculinFeminin WeAllLovedEachOtherSoMuch DieHard Sunrise The47Ronin TheGodfatherPartII FoolishWives Brazil MadMax_FuryRoad LandWithoutBread TheConformist IntheRealmoftheSenses Fargo TheKiller TheEmpireStrikesBack PatherPanchali ElDorado Deliverance HouroftheWolf WagonMaster AStarisBorn BadLieutenant HumanityandPaperBalloons ShortCuts TheMisfits TheSeventhSeal Jaws TheTinDrum ComeandSee TheLifeofOharu PatGarrettandBillytheKid StrangersonaTrain Kwaidan Wanda ToukiBouki Fitzcarraldo FataMorgana BattleshipPotemkin Charulata TheSweetHereafter BerlinAlexanderplatz DuckSoup TopHat TheyLivebyNight TheEndofSummer TheAsphaltJungle BlueVelvet MonsieurVerdoux SomeLikeitHot HolyMotors DiaryofaCountryPriest ShockCorridor AHistoryofViolence AnnieHall TheSon LessonsofDarkness Ikiru DancerintheDark ShanghaiExpress Accattone Rififi TheBitterTearsofPetravonKant StarshipTroopers SevenWomen SeventhHeaven TheThinBlueLine TheOutlawJoseyWales Halloween PulpFiction TheBandWagon Nostalghia TheSilenceoftheLambs Husbands TheMirror TheMarriageofMariaBraun LandscapeintheMist FforFake TriumphoftheWill TheyWereExpendable ThePiano Subarnarekha 12AngryMen ThreeColours_Red TheCrimeofMonsieurLange Reds TheBalladofNarayama ListentoBritain
Malaysia 10 7 5 NA 5 4 NA NA NA NA 3 10 NA 4 3 NA 6 NA NA NA 5 NA NA 9 NA 8 6 10 3 NA 5 NA 9 NA NA NA NA 1 NA NA 9 NA 6 NA 2 NA 6 NA NA 9 NA NA 9 5 8 8 2 NA 1 NA NA 9 NA NA 3 9 8 9 NA NA 8 NA 8 4 NA 5 NA NA NA 8 6 NA NA 7 8 NA 10 NA 10 NA 4 5 NA 2 7 6 NA 9 7 NA NA NA NA 9 9 NA NA 2 NA 3 NA NA NA NA 10 5 NA 5 NA NA NA NA NA NA 6 NA NA NA NA NA 3 NA NA NA NA 8 NA NA 5 NA NA NA 5 NA 2 NA 5 NA NA NA
Archer NA 7 9 NA 7 10 NA NA 8 NA NA 2 NA 4 8 NA 7 NA NA 8 8 NA 4 4 NA 9 5 NA 3 NA NA NA 4 8 NA 10 7 NA 8 3 NA 9 NA 6 3 NA NA NA 7 NA NA NA NA NA NA NA NA NA NA NA NA 6 NA 5 NA NA NA NA NA 8 NA NA NA 5 6 NA NA NA NA 4 NA NA NA 7 NA NA NA NA NA 2 3 NA NA 9 10 NA NA 8 NA 9 NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA 9 NA 9 NA 10 NA NA NA NA 2 7 NA 2 NA NA 9 NA NA 9 6 NA 9 NA NA NA 8 NA 9 NA 4 9 NA 10 6
Jacoby 7 NA 5 NA 8 3 NA 7 NA NA NA 7 2 NA 7 NA 9 4 5 NA NA 8 8 NA NA NA 5 5 8 NA NA NA NA NA NA NA NA 9 NA 8 NA NA NA NA 8 NA NA 7 NA 10 9 NA 5 10 NA 5 NA NA NA 6 NA NA 9 NA NA NA 3 4 NA 6 8 9 NA NA 1 NA NA NA NA NA 10 8 NA 8 NA NA 3 NA NA NA NA NA 5 NA NA 4 NA NA 4 NA 4 10 NA 8 8 NA 10 NA NA 9 NA NA NA NA NA 8 2 10 10 NA NA 1 6 NA NA NA 4 NA NA NA NA NA 8 9 9 9 10 7 NA NA 5 3 NA NA NA NA 4 NA 2 NA
Yara NA 5 NA 10 2 2 8 NA NA NA 2 NA NA NA 10 NA NA 3 NA NA NA 8 NA NA 9 NA NA NA 8 7 3 NA 8 5 NA 6 NA NA NA NA 3 NA 4 5 NA NA NA NA NA NA NA 1 NA 4 8 NA 9 NA 3 7 4 8 NA 4 NA 10 7 NA NA 6 NA NA NA NA NA NA NA 8 NA 1 8 7 NA NA 3 7 3 NA NA NA NA NA NA NA NA 6 7 NA 1 NA NA NA 4 NA NA NA 3 NA NA NA NA NA 10 NA NA NA NA NA 9 NA 2 4 10 9 5 8 NA NA NA NA NA 3 3 NA NA NA NA NA NA 4 2 NA NA 1 NA NA NA NA NA NA
Valeria NA 5 8 NA NA 9 5 6 NA NA NA NA NA 5 8 NA 2 4 10 4 NA 9 9 NA NA 9 6 9 8 NA 8 NA 4 NA NA 7 NA 5 NA NA NA 5 NA NA NA NA 8 NA NA NA NA 10 7 NA NA NA 8 NA NA 1 NA 8 8 6 NA NA NA NA 3 4 NA 2 NA 4 10 9 NA NA NA NA 9 NA NA NA NA NA NA 9 NA NA NA 3 NA 1 NA 7 NA NA NA NA 10 NA 2 9 NA NA NA NA 5 9 10 NA 2 5 NA 6 NA NA NA NA NA NA 2 9 4 NA NA 5 NA NA 10 NA 10 NA NA 4 NA NA NA NA NA NA 7 NA NA NA NA NA 10 5
Vicente NA 7 3 6 NA NA NA 7 4 NA 1 NA NA NA NA 5 7 3 NA 9 10 6 9 4 NA NA 1 NA NA 1 9 1 4 NA 3 NA NA 7 2 3 NA NA NA 4 9 NA NA NA 3 NA NA 9 NA NA 8 NA 7 NA 2 NA NA NA 4 NA NA NA NA NA 10 9 NA NA NA 10 NA NA 4 NA NA 2 NA 5 NA NA 10 NA 8 NA NA 6 NA NA 10 NA NA NA 7 NA NA 9 NA 8 NA NA NA NA 2 9 8 NA NA 8 2 NA NA 10 9 NA 7 1 NA NA NA NA 6 NA 4 NA 5 NA 10 7 NA NA NA NA NA NA NA NA 2 NA 9 NA NA NA 8 NA 2 NA
Tristan NA NA NA 4 NA NA 10 8 NA 6 10 7 NA 7 NA NA 6 NA NA 4 NA 9 NA NA 9 NA NA NA 10 9 3 8 5 NA NA NA NA 2 NA 10 6 8 8 NA NA 2 4 NA NA 7 NA 1 1 NA NA NA NA NA NA 2 9 7 5 NA 10 3 3 10 10 NA 8 9 9 8 10 9 NA 10 NA NA NA NA 7 8 NA NA 8 NA NA NA NA NA NA NA NA 8 6 10 6 10 NA 3 8 4 NA NA NA NA NA NA 6 NA 7 NA NA NA NA 4 NA NA 3 NA 5 NA 8 4 8 3 NA 9 NA NA NA NA 9 4 4 NA NA 10 NA NA NA NA NA NA 6 NA NA NA
Rebecca 2 NA NA 10 NA 10 NA NA NA 8 NA 6 10 NA NA 10 NA NA 8 NA 8 NA NA NA 7 NA 7 NA NA NA NA 10 NA 5 NA NA NA NA NA NA NA 4 6 NA 9 NA 3 NA 3 4 3 NA NA 6 NA 2 4 NA 1 NA NA 10 NA NA NA 9 NA NA NA NA 6 1 NA NA 7 NA 7 8 5 8 NA NA NA NA 1 NA NA NA 4 NA 9 NA 5 NA NA NA NA NA 9 3 NA NA 7 10 NA NA NA 8 NA 7 NA NA NA 5 8 NA NA NA NA 5 NA NA NA 7 NA NA NA 2 9 NA NA NA NA 9 NA NA NA NA NA 9 NA NA 5 NA 7 NA NA NA 8 NA
Javier NA NA 8 4 NA NA NA NA NA 7 NA 6 7 NA NA NA NA NA 4 8 NA NA NA NA 9 NA 5 NA NA 4 NA NA NA NA 6 8 9 NA NA 4 NA 3 NA NA NA NA 9 4 NA NA 3 7 8 NA NA NA NA 10 7 10 NA 8 5 NA 1 1 NA 9 6 NA 1 7 NA 5 NA NA 10 NA NA 3 6 5 NA NA NA 5 NA NA NA NA NA 8 NA NA NA 8 10 NA 5 NA 8 NA 2 1 NA NA 8 NA NA NA NA NA 3 NA 7 NA NA 7 10 NA NA NA 9 NA NA NA NA 7 NA NA NA 7 NA 5 NA NA NA NA NA 8 NA NA NA NA NA NA NA NA NA 2
River NA 1 5 2 NA NA NA 4 NA 4 9 8 NA NA NA NA NA 3 9 5 NA NA 7 6 NA NA 1 4 1 NA NA NA 10 NA NA NA NA NA NA 2 5 1 NA NA 6 NA NA 7 NA NA NA NA 5 NA 3 7 NA NA NA NA 7 7 NA NA NA NA NA 1 NA NA NA 10 NA NA NA NA 8 5 3 NA 5 NA NA 9 9 NA NA 5 8 6 NA 9 NA NA NA NA 9 7 NA NA NA NA NA NA NA NA NA 6 8 NA 1 NA NA NA NA 9 NA 4 1 9 9 NA NA NA NA 9 NA NA NA NA NA NA 9 8 3 NA NA 8 9 7 4 NA NA 5 NA 3 3 9 NA NA
